experiment_id,candidate_id,strategy_family,score,accepted,validation_cagr,sharpe,max_drawdown,stop_reason
risk_managed_trend-ee8a71fb71e3d80f-20260911T192929693332Z-bac7b7dc,risk_managed_trend-ee8a71fb71e3d80f,risk_managed_trend,33.15064561,False,0.02499450622509114,0.914625066376341,-0.0289757301255531,CANDIDATE_EVALUATED
risk_managed_trend-ee8a71fb71e3d80f-20260911T194002253141Z-bcabf074,risk_managed_trend-ee8a71fb71e3d80f,risk_managed_trend,33.15064561,False,0.02499450622509114,0.914625066376341,-0.0289757301255531,CANDIDATE_EVALUATED
risk_managed_trend-6d81de836e3cf8d5-20260911T192947300806Z-7fcfcbcd,risk_managed_trend-6d81de836e3cf8d5,risk_managed_trend,33.03391277,False,0.02709145826455761,0.9111377329765801,-0.03409260623600929,CANDIDATE_EVALUATED
risk_managed_trend-6d81de836e3cf8d5-20260911T194019114427Z-80272aaa,risk_managed_trend-6d81de836e3cf8d5,risk_managed_trend,33.03391277,False,0.02709145826455761,0.9111377329765801,-0.03409260623600929,CANDIDATE_EVALUATED
risk_managed_trend-42b41fa1245ec7bf-20260911T192927407841Z-46628bd0,risk_managed_trend-42b41fa1245ec7bf,risk_managed_trend,32.96003581,False,0.02539732093817504,0.9441959799235862,-0.028583259227046298,CANDIDATE_EVALUATED
risk_managed_trend-42b41fa1245ec7bf-20260911T194000098180Z-2ee916f2,risk_managed_trend-42b41fa1245ec7bf,risk_managed_trend,32.96003581,False,0.02539732093817504,0.9441959799235862,-0.028583259227046298,CANDIDATE_EVALUATED
momentum-beed7614cb8af377-20260911T192634555110Z-a0096f64,momentum-beed7614cb8af377,momentum,32.65972181,False,0.053130812224861046,0.713175281185249,-0.1231673413922516,CANDIDATE_EVALUATED
momentum-beed7614cb8af377-20260911T193737197057Z-42f3156e,momentum-beed7614cb8af377,momentum,32.65972181,False,0.053130812224861046,0.713175281185249,-0.1231673413922516,CANDIDATE_EVALUATED
risk_managed_trend-744ae0ccb3dc742d-20260911T193006845434Z-6b7d54b8,risk_managed_trend-744ae0ccb3dc742d,risk_managed_trend,32.4239034,False,0.027428331904796766,0.8595966867725227,-0.038584849354536876,CANDIDATE_EVALUATED
risk_managed_trend-744ae0ccb3dc742d-20260911T194038083945Z-d47e3170,risk_managed_trend-744ae0ccb3dc742d,risk_managed_trend,32.4239034,False,0.027428331904796766,0.8595966867725227,-0.038584849354536876,CANDIDATE_EVALUATED
risk_managed_trend-193ebf102c437cc1-20260911T192949433344Z-77e93b3e,risk_managed_trend-193ebf102c437cc1,risk_managed_trend,31.36371437,False,0.02497527007447875,0.8194040851795288,-0.034443830399085384,CANDIDATE_EVALUATED
risk_managed_trend-193ebf102c437cc1-20260911T194021258553Z-e1856a74,risk_managed_trend-193ebf102c437cc1,risk_managed_trend,31.36371437,False,0.02497527007447875,0.8194040851795288,-0.034443830399085384,CANDIDATE_EVALUATED
risk_managed_trend-e54c22493f510e0b-20260911T193009021407Z-0386bcee,risk_managed_trend-e54c22493f510e0b,risk_managed_trend,30.58690596,False,0.026087377464459216,0.7943250064467399,-0.039131015034422845,CANDIDATE_EVALUATED
risk_managed_trend-e54c22493f510e0b-20260911T194040084039Z-5a027ad2,risk_managed_trend-e54c22493f510e0b,risk_managed_trend,30.58690596,False,0.026087377464459216,0.7943250064467399,-0.039131015034422845,CANDIDATE_EVALUATED
momentum-23055860f68f3442-20260911T192627165203Z-575029d4,momentum-23055860f68f3442,momentum,30.5608591,False,0.012147186228973927,0.5053572865117091,-0.03937171234442349,CANDIDATE_EVALUATED
momentum-23055860f68f3442-20260911T193730882670Z-18fa8cf4,momentum-23055860f68f3442,momentum,30.5608591,False,0.012147186228973927,0.5053572865117091,-0.03937171234442349,CANDIDATE_EVALUATED
risk_managed_trend-410e75a06edbc8ac-20260911T192830623843Z-d801ce9d,risk_managed_trend-410e75a06edbc8ac,risk_managed_trend,30.34451672,False,0.014584263724460644,0.837105599200571,-0.02060984719240333,CANDIDATE_EVALUATED
risk_managed_trend-410e75a06edbc8ac-20260911T193909387889Z-819ff220,risk_managed_trend-410e75a06edbc8ac,risk_managed_trend,30.34451672,False,0.014584263724460644,0.837105599200571,-0.02060984719240333,CANDIDATE_EVALUATED
risk_managed_trend-feb2cc81c1251a33-20260911T192951707133Z-d5f108ab,risk_managed_trend-feb2cc81c1251a33,risk_managed_trend,29.14245649,False,0.023229159186233028,0.7524608637889763,-0.03774550653607278,CANDIDATE_EVALUATED
risk_managed_trend-feb2cc81c1251a33-20260911T194023302253Z-2564a271,risk_managed_trend-feb2cc81c1251a33,risk_managed_trend,29.14245649,False,0.023229159186233028,0.7524608637889763,-0.03774550653607278,CANDIDATE_EVALUATED
risk_managed_trend-68c5759c8fce1733-20260911T192849488293Z-af1806c7,risk_managed_trend-68c5759c8fce1733,risk_managed_trend,29.12335097,False,0.015920001454523547,0.8069793325504102,-0.023425415767301616,CANDIDATE_EVALUATED
risk_managed_trend-68c5759c8fce1733-20260911T193925792638Z-ef579584,risk_managed_trend-68c5759c8fce1733,risk_managed_trend,29.12335097,False,0.015920001454523547,0.8069793325504102,-0.023425415767301616,CANDIDATE_EVALUATED
